Configuration	Term	J	Prefix	Level (Hartree)	Suffix	Uncertainty (Hartree)	Lande	Leading percentages	Reference
"4f13.(2F*<5/2>).5d2.(3F)"	"3[9/2]*"	"9/2"	""	"0.2690374"	""	""	"1.08"	"  57                :    24                                 (2F*<5/2>)(3F) 3[7/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[9/2]*"	"11/2"	""	"0.2799541"	""	""	"1.11"	"  91                :     4                                 (2F*<7/2>)(1G) 1[11/2]* "	""
"4f13.(2F*<7/2>).5d2.(1G)"	"1[13/2]*"	"13/2"	""	"0.2622700"	""	""	"1.04"	"  94                :     5                                 (2F*<5/2>)(1G) 1[13/2]* "	""
"4f13.(2F*<7/2>).6s.6p.(1P*<1>)"	"(7/2,1)"	"9/2"	""	"0.2631982"	""	""	"1.12"	"  45                :    36  (2F*<7/2>).5d.6p.(1P*<1>)                              "	""
"4f13.(2F*<5/2>).6s.6p.(3P*<0>)"	"(5/2,0)"	"5/2"	""	"0.2655610"	""	""	"0.77"	"  87                :     5                                 (2F*<5/2>)(3P*<1>)      "	""
"4f13.(2F*<7/2>).5d2.(1G)"	"1[9/2]*"	"9/2"	""	"0.2664752"	""	""	"1.02"	"  75                :    11                                 (2F*<5/2>)(3F) 3[9/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[7/2]*"	"5/2"	""	"0.2672798"	""	""	"0.86"	"  59                :    14                                 (2F*<5/2>)(3F) 3[5/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[7/2]*"	"7/2"	""	"0.2716699"	""	""	""	"  60                :    19                                 (2F*<5/2>)(3F) 3[9/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[7/2]*"	"9/2"	""	"0.2763411"	""	""	"1.10"	"  57                :    20                                 (2F*<5/2>)(3F) 3[9/2]*  "	""
"4f13.(2F*<5/2>).5d2.(3F)"	"3[3/2]*"	"1/2"	""	"0.2673317"	""	""	"0.538"	"  69                :    15                                 (2F*<7/2>)(1G) 1[1/2]*  "	""
"4f13.(2F*<7/2>).6s.6p.(1P*<1>)"	""	"7/2"	""	"0.2692344"	""	""	"1.122"	"  36  (7/2,1)       :    25  (2F*<7/2>).5d.6p.(1P*<1>)                              "	""
"4f13.(2F*<5/2>).6s.6p.(3P*<1>)"	"(5/2,1)"	"5/2"	""	"0.2700050"	""	""	"1.105"	"  78                :     6                                 (2F*<5/2>)(3P*<0>)      "	""
