# Reduced electric-dipole matrix elements |<n1 l1 j1 || d || n2 l2 j2>| in e a0,
# from the Portal for High-Precision Atomic Data and Computation, https://www1.udel.edu/atom/
# (M. S. Safronova et al., linearized coupled-cluster method; retrieved 2026-07-28).
species,n1,l1,j1,n2,l2,j2,matrix_element,uncertainty
Li,5,1,1.5,10,2,1.5,0.904502,0.0013555
Li,5,1,1.5,10,2,2.5,2.71351,0.0040789
Li,4,3,2.5,6,2,1.5,0.887159,0.0031725
Li,5,3,2.5,6,2,1.5,5.87584,0.162128
Li,6,2,1.5,6,3,2.5,72.4697,0.0362348
Li,6,2,1.5,7,3,2.5,36.6644,0.0183322
Li,6,2,1.5,8,3,2.5,14.1542,0.0070771
Li,6,2,1.5,9,3,2.5,8.17829,0.0040891
Li,6,2,1.5,10,3,2.5,5.57948,0.0027897
Li,4,3,2.5,6,2,2.5,0.237089,0.0008396
Li,4,3,3.5,6,2,2.5,1.06029,0.0037368
Li,5,3,2.5,6,2,2.5,1.57029,0.0432754
Li,5,3,3.5,6,2,2.5,7.02253,0.193431
Li,6,2,2.5,6,3,2.5,19.3683,0.0096842
Li,6,2,2.5,6,3,3.5,86.6179,0.0433089
Li,6,2,2.5,7,3,2.5,9.7991,0.0048995
Li,6,2,2.5,7,3,3.5,43.8227,0.0219113
Li,6,2,2.5,8,3,2.5,3.78288,0.0018914
Li,6,2,2.5,8,3,3.5,16.9175,0.0084588
Li,6,2,2.5,9,3,2.5,2.18575,0.0010929
Li,6,2,2.5,9,3,3.5,9.77496,0.0048875
Li,6,2,2.5,10,3,2.5,1.49118,0.0007456
Li,6,2,2.5,10,3,3.5,6.66876,0.0033344
Li,2,1,0.5,6,0,0.5,0.231105,0.0001156
Li,2,1,1.5,6,0,0.5,0.326832,0.0001634
Li,3,1,0.5,6,0,0.5,0.802359,0.0004012
Li,3,1,1.5,6,0,0.5,1.1347,0.0005674
Li,4,1,0.5,6,0,0.5,2.6884,0.0013442
Li,4,1,1.5,6,0,0.5,3.80198,0.001901
Li,5,1,0.5,6,0,0.5,17.4237,0.0087118
Li,5,1,1.5,6,0,0.5,24.6408,0.0123204
Li,6,0,0.5,6,1,0.5,36.5668,0.0182834
Li,6,0,0.5,6,1,1.5,51.7132,0.0258566
Li,6,0,0.5,7,1,0.5,1.07347,0.0115253
Li,6,0,0.5,7,1,1.5,1.51812,0.0167051
Li,6,0,0.5,8,1,0.5,0.0733587,0.0227846
Li,6,0,0.5,8,1,1.5,0.103745,0.0324227
Li,6,0,0.5,9,1,0.5,0.0574514,0.0015007
Li,6,0,0.5,9,1,1.5,0.0812485,0.0019966
Li,6,0,0.5,10,1,0.5,0.0989276,0.0075875
Li,6,0,0.5,10,1,1.5,0.139905,0.0108197
Li,3,2,1.5,6,1,0.5,0.398297,0.0007797
Li,4,2,1.5,6,1,0.5,1.59972,0.0032881
Li,5,2,1.5,6,1,0.5,7.94367,0.0211531
Li,6,1,0.5,6,2,1.5,58.92,0.02946
Li,6,1,0.5,7,2,1.5,19.545,0.034461
Li,6,1,0.5,8,2,1.5,8.1882,0.0096139
Li,6,1,0.5,9,2,1.5,4.9086,0.0101819
Li,6,1,0.5,10,2,1.5,3.42043,0.0056235
Li,3,2,1.5,6,1,1.5,0.178124,0.0003571
Li,3,2,2.5,6,1,1.5,0.534385,0.0010726
